"Name","Tags","adp_score","mcc","tp","fp","tn","fn"
"mimicry_5000","CADETS_E3, magic","0.467","0.06566","1632","160551","120367","0"
"mimicry_4000","CADETS_E3, magic","0.535","0.05999","1363","160738","120253","0"
"mimicry_3000","CADETS_E3, magic","0.624","0.05413","1099","160188","120876","0"
"mimicry_2000","CADETS_E3, magic","0.556","0.0453","773","160671","120523","0"
"mimicry_1000","CADETS_E3, magic","0.359","0.03439","443","160492","120844","0"
"mimicry_0","CADETS_E3, magic","0.03","0.01355","68","159952","121565","0"
