"Name","Tags","adp_score","mcc","tp","fp","tn","fn"
"mimicry_5000","CADETS_E3, orthrus","0.997","0.09816","16","0","280898","1635"
"mimicry_4000","CADETS_E3, orthrus","0.994","0.07655","9","1","280974","1365"
"mimicry_3000","CADETS_E3, orthrus","0.998","0.08562","8","0","281081","1079"
"mimicry_2000","CADETS_E3, orthrus","0.969","0.06637","7","7","281178","781"
"mimicry_1000","CADETS_E3, orthrus","0.971","0.09822","5","1","281343","426"
"mimicry_0","CADETS_E3, orthrus","0.93","0.24498","7","5","281512","61"
