"Name","Tags","adp_score","mcc","tp","fp","tn","fn"
"mimicry_5000","CADETS_E3, flash","0.997","0.28757","1478","13636","267274","165"
"mimicry_4000","CADETS_E3, flash","0.92","0.12245","784","22984","258011","591"
"mimicry_3000","CADETS_E3, flash","0.998","0.3942","967","4462","276627","119"
"mimicry_2000","CADETS_E3, flash","0.806","0.44694","413","662","280525","375"
"mimicry_1000","CADETS_E3, flash","0.673","0.05251","227","29984","251359","210"
"mimicry_0","CADETS_E3, flash","0.337","0.01017","4","1811","279706","64"
