"Name","adp_score_mean","adp_score_std","auc_mean","auc_std"
"CLEARSCOPE_E3_all_only_type","0.475","0.3","0.7707840000000001","0.06000923815547067"
"CLEARSCOPE_E3_all_only_type","0.5166000000000001","0.2603886326243909","0.7782039999999999","0.05214529263509793"
"CLEARSCOPE_E3_all_only_type","0.3634","0.3329405953019247","0.780932","0.05730868534524238"
"CLEARSCOPE_E3_all_hierarchical_hashing","0.8","0.2449489742783178","0.730798","0.008039182545507976"
"CLEARSCOPE_E3_all_hierarchical_hashing","0.8","0.2449489742783178","0.754998","0.017114750830789196"
"CLEARSCOPE_E3_all_hierarchical_hashing","0.5900000000000001","0.34985711369071804","0.7847040000000001","0.017232522276207855"
"CLEARSCOPE_E3_train_hierarchical_hashing","0.9","0.2","0.735812","0.052164291771287376"
"CLEARSCOPE_E3_train_hierarchical_hashing","0.74","0.332264954516723","0.739312","0.02373230321734493"
"CLEARSCOPE_E3_train_hierarchical_hashing","0.68","0.39191835884530846","0.738926","0.023419845943131224"
"CLEARSCOPE_E3_all_fasttext","0.4622","0.3111838042058102","0.7315119999999999","0.03432034871617709"
"CLEARSCOPE_E3_all_fasttext","0.6334","0.3230824043491072","0.7632260000000001","0.04289730928624779"
"CLEARSCOPE_E3_all_fasttext","0.7066000000000001","0.36179309003904425","0.7578799999999999","0.024406808066603048"
"CLEARSCOPE_E3_train_fasttext","0.5666","0.3551650883744066","0.764528","0.0298283438360228"
"CLEARSCOPE_E3_train_fasttext","0.6166","0.3232371265804719","0.7654120000000001","0.05726325257964309"
"CLEARSCOPE_E3_train_fasttext","0.5952","0.34929151149147614","0.764628","0.03134982768692674"
"CLEARSCOPE_E3_all_doc2vec","0.8666","0.26680000000000004","0.786346","0.04903803487090405"
"CLEARSCOPE_E3_all_doc2vec","0.8","0.2449489742783178","0.721394","0.019354824308166665"
"CLEARSCOPE_E3_all_doc2vec","0.2666","0.13330056263947276","0.7834200000000001","0.05245544204370029"
"CLEARSCOPE_E3_train_doc2vec","0.7166","0.3480836681029433","0.77401","0.11449086863152012"
"CLEARSCOPE_E3_train_doc2vec","0.6332","0.3056359926448454","0.724812","0.02423441965469776"
"CLEARSCOPE_E3_train_doc2vec","0.45359999999999995","0.31853075204758485","0.726174","0.054842801022559"
"CLEARSCOPE_E3_all_flash","0.1854","0.19600061224394175","0.77687","0.06694433508520345"
"CLEARSCOPE_E3_all_flash","0.13920000000000002","0.10554316652441312","0.786764","0.03601940288233552"
"CLEARSCOPE_E3_all_flash","0.2972","0.35921213787955436","0.795874","0.0894974879200528"
"CLEARSCOPE_E3_train_flash","0.3162","0.3879888658196262","0.723158","0.0848409409188748"
"CLEARSCOPE_E3_train_flash","0.08659999999999998","0.023474241201793936","0.77566","0.04499239758003569"
"CLEARSCOPE_E3_train_flash","0.14","0.10696167537954894","0.762518","0.07120465726341219"
"CLEARSCOPE_E3_all_word2vec","0.35819999999999996","0.343189393775507","0.776794","0.04295263977918005"
"CLEARSCOPE_E3_all_word2vec","0.3106","0.17601431759944983","0.7313560000000001","0.05982918137497787"
"CLEARSCOPE_E3_all_word2vec","0.64","0.31368774282716244","0.7768539999999999","0.042964907820219986"
"CLEARSCOPE_E3_train_word2vec","0.3196","0.3542296430283609","0.77124","0.03454301955533127"
"CLEARSCOPE_E3_train_word2vec","0.6","0.20000000000000004","0.73247","0.04371912670674016"
"CLEARSCOPE_E3_train_word2vec","1","0","0.782892","0.06298578391986558"
"CLEARSCOPE_E3_all_feature_word2vec","0.725","0.3570714214271425","0.741978","0.03300762360425237"
"CLEARSCOPE_E3_all_feature_word2vec","0.5666","0.2261465011889417","0.717554","0.04563571390917426"
"CLEARSCOPE_E3_all_feature_word2vec","0.7166","0.34808366810294333","0.746876","0.04224288749600337"
"CLEARSCOPE_E3_train_feature_word2vec","0.5900000000000001","0.34985711369071804","0.760402","0.027487452701187135"
"CLEARSCOPE_E3_train_feature_word2vec","0.75","0.31622776601683794","0.752614","0.06237696164450461"
"CLEARSCOPE_E3_train_feature_word2vec","0.7666000000000001","0.29069268996656933","0.7766819999999999","0.03619582649974992"
