"Name","adp_score_mean","adp_score_std","auc_mean","auc_std"
"CADETS_E3_all_only_type","0.05519999999999999","0.060996393335999786","0.605812","0.09999295623192668"
"CADETS_E3_all_only_type","0.1014","0.11983254983517629","0.61928","0.06710909088938698"
"CADETS_E3_all_only_type","0.11880000000000002","0.12330190590578882","0.69763","0.08534534199357335"
"CADETS_E3_all_hierarchical_hashing","0.0732","0.03831657604744976","0.629654","0.16519078020277037"
"CADETS_E3_all_hierarchical_hashing","0.1074","0.1169813660375019","0.605156","0.04735422709748304"
"CADETS_E3_train_hierarchical_hashing","0.034199999999999994","0.02467711490429949","0.686318","0.11353602430946748"
"CADETS_E3_train_hierarchical_hashing","0.2252","0.14103673280390466","0.6568720000000001","0.09754866404005744"
"CADETS_E3_train_hierarchical_hashing","0.1312","0.1108122736884322","0.544014","0.11824241584135534"
"CADETS_E3_all_fasttext","0.0744","0.067919363954619","0.5258","0.02106561273734994"
"CADETS_E3_all_fasttext","0.0674","0.03498342464653796","0.534404","0.01720200058132775"
"CADETS_E3_all_fasttext","0.0792","0.004445222154178573","0.5430179999999999","0.000003999999999981796"
"CADETS_E3_train_fasttext","0.0126","0.0227297162322806","0.57698","0.06332426549120011"
"CADETS_E3_train_fasttext","0.035199999999999995","0.01550999677627304","0.66514","0.06933181318846349"
"CADETS_E3_train_fasttext","0.0512","0.03790197884016084","0.5905199999999999","0.04938259814955061"
"CADETS_E3_all_doc2vec","0.0142","0.003059411708155671","0.683964","0.07062030971328291"
"CADETS_E3_all_doc2vec","0.016599999999999997","0.014207040508142432","0.655686","0.09485884431090227"
"CADETS_E3_all_doc2vec","0.041","0.011135528725660045","0.621866","0.13027609782304655"
"CADETS_E3_train_doc2vec","0.0128","0.007025667228100118","0.59008","0.106531310890273"
"CADETS_E3_train_doc2vec","0.19760000000000005","0.12273972462084148","0.690402","0.0899670338290643"
"CADETS_E3_train_doc2vec","0.33740000000000003","0.000489897948556636","0.518828","0.12431415871090466"
"CADETS_E3_all_word2vec","0.0204","0.007002856560004638","0.7813319999999999","0.04409520944501793"
"CADETS_E3_all_word2vec","0.033800000000000004","0.051386379518312056","0.560442","0.08698088534844883"
"CADETS_E3_all_word2vec","0.1016","0.17152212685248514","0.5843740000000001","0.11691044052607104"
"CADETS_E3_train_word2vec","0.0198","0.02196724834839357","0.5548","0.1564904006001646"
"CADETS_E3_train_word2vec","0.0124","0.0109288608738514","0.561168","0.09556898752210362"
"CADETS_E3_train_word2vec","0.0474","0.06864867078101368","0.62915","0.14488097708118894"
"CADETS_E3_all_feature_word2vec","0.07619999999999999","0.04176793028149708","0.575522","0.12862152407742647"
"CADETS_E3_all_feature_word2vec","0.0566","0.030942527369301948","0.525842","0.04473865594762542"
"CADETS_E3_all_feature_word2vec","0.0962","0.06597696567742412","0.617108","0.14539912880069122"
"CADETS_E3_train_feature_word2vec","0.15","0.12350708481702578","0.56097","0.030742900969166837"
"CADETS_E3_train_feature_word2vec","0.058","0.05803447251418764","0.522726","0.05955830272934244"
"CADETS_E3_train_feature_word2vec","0.1126","0.1272282987389205","0.660098","0.08037425891415734"
