"Name","adp_score_mean","adp_score_std","auc_mean","auc_std"
"CADETS_E3_all_only_type","0.0027999999999999995","0.0009797958971132714","0.7305060000000001","0.058624226255021894"
"CADETS_E3_all_only_type","0.0144","0.012768711759609894","0.75817","0.02142078523303941"
"CADETS_E3_all_only_type","0.0048","0.002785677655436824","0.7171320000000001","0.03197729281849857"
"CADETS_E3_all_hierarchical_hashing","0.203","0.16067607164727424","0.863008","0.014323808711372808"
"CADETS_E3_all_hierarchical_hashing","0.2168","0.06985527897016804","0.880924","0.009580932313715632"
"CADETS_E3_all_hierarchical_hashing","0.8998000000000002","0.12664975325676717","0.8768","0.0021415415008820366"
"CADETS_E3_train_hierarchical_hashing","0.1342","0.16491864661098815","0.854598","0.0148407633226866"
"CADETS_E3_train_hierarchical_hashing","0.27420000000000005","0.20001139967511855","0.8815419999999999","0.00755587559452909"
"CADETS_E3_train_hierarchical_hashing","0.9332","0.10780426707695756","0.8806240000000001","0.002969535990689452"
"CADETS_E3_all_fasttext","0.002","0","0.633388","0.04775729992367658"
"CADETS_E3_all_fasttext","0.002","0","0.669342","0.004426905917229322"
"CADETS_E3_all_fasttext","0.003","0.0016733200530681513","0.7429479999999999","0.04889843981151138"
"CADETS_E3_train_fasttext","0.002","0","0.6299319999999999","0.0493448106288797"
"CADETS_E3_train_fasttext","0.002","0","0.647862","0.010023461278420754"
"CADETS_E3_train_fasttext","0.0032","0.0009797958971132711","0.79227","0.03112596922185716"
"CADETS_E3_all_doc2vec","0.026","0.001788854381999832","0.777402","0.015455478510871153"
"CADETS_E3_all_doc2vec","0.11179999999999998","0.017769637024992947","0.7601120000000001","0.00794449847378675"
"CADETS_E3_all_doc2vec","0.05","0.008602325267042627","0.7871279999999999","0.011600278272524325"
"CADETS_E3_train_doc2vec","0.041400000000000006","0.008309031231136394","0.7735380000000001","0.004744796729049628"
"CADETS_E3_train_doc2vec","0.0196","0.0025768197453450254","0.7860039999999999","0.024772767790458953"
"CADETS_E3_train_doc2vec","0.0354","0.004317406628984581","0.795386","0.0014014934891036755"
"CADETS_E3_all_word2vec","0.1442","0.033594047091709565","0.630212","0.003646869342326381"
"CADETS_E3_all_word2vec","0.1688","0.009325234581499812","0.6241559999999999","0.009879648981618716"
"CADETS_E3_all_word2vec","0.027000000000000003","0.0022803508501982755","0.629164","0.014912954905048167"
"CADETS_E3_train_word2vec","0.2484","0.11622839584198004","0.6361600000000001","0.013572732959872168"
"CADETS_E3_train_word2vec","0.2894","0.08920000000000003","0.6334540000000001","0.01337717548662649"
"CADETS_E3_train_word2vec","0.10839999999999998","0.11889423871660054","0.6389940000000001","0.02197142835593534"
"CADETS_E3_all_feature_word2vec","0.0308","0.0059126981996377925","0.699516","0.0210470298142042"
"CADETS_E3_all_feature_word2vec","0.0128","0.006523802572120036","0.6829799999999999","0.04221738788698324"
"CADETS_E3_all_feature_word2vec","0.0134","0.003826225293941799","0.7457659999999999","0.009810208152735596"
"CADETS_E3_train_feature_word2vec","0.0112","0.00661513416341649","0.6702","0.03552179781486293"
"CADETS_E3_train_feature_word2vec","0.055200000000000006","0.042447143602367406","0.7466739999999998","0.018926153967459947"
"CADETS_E3_train_feature_word2vec","0.1464","0.05261786768769711","0.749484","0.017795334894291824"
"CADETS_E3_train_feature_word2vec","0.0646","0.019189580506097575","0.754078","0.01434206038196742"
"CADETS_E3_train_feature_word2vec","0.0274","0.00816333265278342","0.774156","0.008992580497276614"
"CADETS_E3_train_feature_word2vec","0.0258","0.007054076835419359","0.7727999999999999","0.013006252342623549"
