"Name","adp_score_mean","adp_score_std","auc_mean","auc_std"
"CLEARSCOPE_E3_all_only_type","0.1906","0.17015122685423106","0.697726","0.03494433264493686"
"CLEARSCOPE_E3_all_only_type","0.2866","0.36005199624498685","0.7216039999999999","0.059061780738477586"
"CLEARSCOPE_E3_all_only_type","0.1506","0.054650160109555035","0.7147399999999999","0.06697743709638342"
"CLEARSCOPE_E3_all_hierarchical_hashing","0.06599999999999999","0.04753104248804143","0.725038","0.05356763179383613"
"CLEARSCOPE_E3_all_hierarchical_hashing","0.4662","0.44282565418006214","0.6887779999999999","0.1034990049034289"
"CLEARSCOPE_E3_all_hierarchical_hashing","0.5088","0.4095907225511828","0.850274","0.083563555357584"
"CLEARSCOPE_E3_train_hierarchical_hashing","0.1468","0.10086109259769102","0.7470260000000001","0.06536101792352994"
"CLEARSCOPE_E3_train_hierarchical_hashing","0.31020000000000003","0.3481019390925595","0.725468","0.11910881199978444"
"CLEARSCOPE_E3_train_hierarchical_hashing","0.3656","0.35513298917447816","0.69006","0.0276087551331095"
"CLEARSCOPE_E3_all_fasttext","0.257","0.3722692573930864","0.7195940000000001","0.14437255800185855"
"CLEARSCOPE_E3_all_fasttext","0.265","0.3701972447223237","0.689208","0.08746597244643195"
"CLEARSCOPE_E3_all_fasttext","0.2488","0.1621744739470426","0.686806","0.1171239566613082"
"CLEARSCOPE_E3_all_fasttext","0.0776","0.055431399044224026","0.7290179999999999","0.04333266038451827"
"CLEARSCOPE_E3_all_fasttext","0.2994","0.3533205909652026","0.7265560000000001","0.06390005589981905"
"CLEARSCOPE_E3_train_fasttext","0.364","0.3547523079558469","0.735112","0.09043407287079357"
"CLEARSCOPE_E3_train_fasttext","0.3892","0.33934725577201885","0.733926","0.055706527301564945"
"CLEARSCOPE_E3_train_fasttext","0.12000000000000002","0.07179693586776528","0.755834","0.0678226730820896"
"CLEARSCOPE_E3_all_doc2vec","0.08499999999999999","0.02506790777069359","0.766156","0.06199850533682241"
"CLEARSCOPE_E3_all_doc2vec","0.17800000000000002","0.11269960070914184","0.750882","0.061860401679911546"
"CLEARSCOPE_E3_all_doc2vec","0.16460000000000002","0.17654529163928445","0.746386","0.08319686907570499"
"CLEARSCOPE_E3_train_doc2vec","0.2438","0.3787095985052399","0.70884","0.04695872400310725"
"CLEARSCOPE_E3_train_doc2vec","0.3306","0.3466367551198228","0.666008","0.0938488807391969"
"CLEARSCOPE_E3_train_doc2vec","0.29460000000000003","0.3557103315901859","0.778296","0.08800417890077718"
"CLEARSCOPE_E3_all_flash","0.061","0.04377670613465568","0.768284","0.125409864301019"
"CLEARSCOPE_E3_all_flash","0.043800000000000006","0.03635051581477215","0.8217540000000001","0.08048917010380961"
"CLEARSCOPE_E3_all_flash","0.0408","0.053086344760211165","0.7493740000000001","0.17288080999347497"
"CLEARSCOPE_E3_all_flash","0.0598","0.04825929962193815","0.768036","0.1020692076191444"
"CLEARSCOPE_E3_all_flash","0.0128","0.010146920715172656","0.7297580000000001","0.13368767533321835"
"CLEARSCOPE_E3_train_flash","0.255","0.3753531670307312","0.820928","0.06242308496061373"
"CLEARSCOPE_E3_train_flash","0.032600000000000004","0.02306165648863932","0.756184","0.08337905482793627"
"CLEARSCOPE_E3_train_flash","0.011","0.008602325267042627","0.687872","0.1371363597883508"
"CLEARSCOPE_E3_all_word2vec","0.05500000000000001","0.047912420101681355","0.683266","0.0857623373282235"
"CLEARSCOPE_E3_all_word2vec","0.2562","0.3742616197260948","0.740864","0.0638065506354951"
"CLEARSCOPE_E3_all_word2vec","0.3208","0.3470178093412498","0.78437","0.1044710775286634"
"CLEARSCOPE_E3_train_word2vec","0.030800000000000004","0.034798850555729566","0.7007000000000001","0.029016254754878335"
"CLEARSCOPE_E3_train_word2vec","0.0488","0.0404","0.7157180000000001","0.10304313686995366"
"CLEARSCOPE_E3_train_word2vec","0.0262","0.020517309765171455","0.6590239999999999","0.08643370606424328"
"CLEARSCOPE_E3_all_feature_word2vec","0.015","0.0068117545463705605","0.6900039999999998","0.09042127174509326"
"CLEARSCOPE_E3_all_feature_word2vec","0.013599999999999998","0.006468384651518493","0.694024","0.05355993637038791"
"CLEARSCOPE_E3_all_feature_word2vec","0.0182","0.01485126257258958","0.781454","0.10087768942635432"
"CLEARSCOPE_E3_train_feature_word2vec","0.0154","0.004409081537009721","0.718708","0.026107624480216505"
"CLEARSCOPE_E3_train_feature_word2vec","0.012","0.0031622776601683794","0.7232559999999999","0.07726302209983762"
"CLEARSCOPE_E3_train_feature_word2vec","0.0216","0.007116178749862878","0.738656","0.03681475986611893"
