Dataset              Embed Method              Encoder Method                 Decoder Method                 ADP Score  AP        
CLEARSCOPE_E5        feature_word2vec          sum_aggregation                predict_node_type              0.3340     0.0198    
CLEARSCOPE_E5        only_type                 sum_aggregation                predict_node_type              0.3340     0.0102    
CLEARSCOPE_E5        feature_word2vec          sum_aggregation                reconstruct_node_features      0.3330     0.0217    
CLEARSCOPE_E5        fasttext                  tgn-graph_attention            reconstruct_node_features      0.3330     0.0199    

THEIA_E3             hierarchical_hashing      tgn-graph_attention            predict_node_type              1.0000     0.4844    
THEIA_E3             hierarchical_hashing      tgn-graph_attention            predict_node_type              1.0000     0.4787    
THEIA_E3             hierarchical_hashing      tgn-graph_attention            predict_edge_type              1.0000     0.4684    
THEIA_E3             hierarchical_hashing      tgn-graph_attention            predict_node_type              1.0000     0.4658    
THEIA_E3             hierarchical_hashing      tgn-graph_attention            predict_node_type              1.0000     0.4578    
THEIA_E3             hierarchical_hashing      graph_attention                predict_node_type              1.0000     0.4431    
THEIA_E3             hierarchical_hashing      graph_attention                predict_node_type              1.0000     0.1923    
THEIA_E3             hierarchical_hashing      graph_attention                predict_node_type              1.0000     0.1655    
THEIA_E3             hierarchical_hashing      graph_attention                predict_node_type              1.0000     0.1482    
THEIA_E3             hierarchical_hashing      graph_attention                predict_node_type              1.0000     0.1417    
THEIA_E3             hierarchical_hashing      graph_attention                predict_node_type              1.0000     0.0987    
THEIA_E3             hierarchical_hashing      graph_attention                predict_node_type              1.0000     0.0760    
THEIA_E3             only_type                 tgn-graph_attention            predict_edge_type              1.0000     0.0752    
THEIA_E3             only_type                 tgn-graph_attention            predict_edge_type              1.0000     0.0697    
THEIA_E3             hierarchical_hashing      sage                           predict_node_type              1.0000     0.0692    
THEIA_E3             fasttext                  tgn-graph_attention            predict_edge_type              1.0000     0.0551    
THEIA_E3             only_type                 graph_attention                predict_edge_type              1.0000     0.0443    
THEIA_E3             hierarchical_hashing      sum_aggregation                predict_node_type              1.0000     0.0304    
THEIA_E3             hierarchical_hashing      sum_aggregation                predict_node_type              1.0000     0.0283    
THEIA_E3             fasttext                  graph_attention                predict_node_type              1.0000     0.0239    

THEIA_E5             only_type                 sage                           reconstruct_node_features      1.0000     0.0171    
THEIA_E5             fasttext                  sage                           reconstruct_node_features      1.0000     0.0157    
THEIA_E5             feature_word2vec          graph_attention                reconstruct_node_features      1.0000     0.0154    
THEIA_E5             feature_word2vec          sage                           reconstruct_node_features      1.0000     0.0152    
THEIA_E5             fasttext                  sum_aggregation                reconstruct_node_features      1.0000     0.0151    
THEIA_E5             only_type                 sum_aggregation                reconstruct_node_features      1.0000     0.0151    
THEIA_E5             feature_word2vec          sage                           reconstruct_node_features      1.0000     0.0147    
THEIA_E5             feature_word2vec          graph_attention                reconstruct_node_features      1.0000     0.0146    
THEIA_E5             only_type                 sum_aggregation                reconstruct_node_features      1.0000     0.0146    
THEIA_E5             only_type                 graph_attention                reconstruct_node_features      1.0000     0.0146    
THEIA_E5             fasttext                  graph_attention                reconstruct_node_features      0.5000     0.0103    
THEIA_E5             feature_word2vec          tgn-graph_attention            reconstruct_node_features      0.2000     0.0035    
THEIA_E5             hierarchical_hashing      tgn-graph_attention            predict_node_type              0.0330     0.0052    
THEIA_E5             feature_word2vec          sum_aggregation                reconstruct_node_features      0.0310     0.0005    
THEIA_E5             hierarchical_hashing      graph_attention                predict_node_type              0.0290     0.0008    
THEIA_E5             only_type                 tgn-graph_attention            reconstruct_node_features      0.0250     0.0011    
THEIA_E5             fasttext                  graph_attention                reconstruct_node_features      0.0240     0.0039    
THEIA_E5             only_type                 tgn-graph_attention            reconstruct_node_features      0.0220     0.0010    
THEIA_E5             only_type                 graph_attention                reconstruct_node_features      0.0210     0.0007    
THEIA_E5             only_type                 sage                           reconstruct_node_features      0.0210     0.0005    
